10.10.0.178;lacerta
10.10.0.246;lacertanew
10.10.0.210;pamsrvntapl
192.168.4.3;pamsrvntbhz1
192.168.203.3;pamsrvntbhzr1
192.168.28.3;pamsrvntblu1
192.168.27.3;pamsrvntcba1
10.10.2.107;pamsrvntcolwhom
10.10.0.176;pamsrvntconn2
10.10.0.244;pamsrvntcrvhom
10.10.238;pamsrvntcrvprd
192.168.9.3;pamsrvntctb1
192.168.202.3;pamsrvntctbr2
10.10.0.189;pamsrvntdc01
10.10.0.190;pamsrvntdc03
10.10.0.13;pamsrvnterstd
10.10.0.60;pamsrvntfs2
192.168.16.3;pamsrvntgna1
10.10.0.85;pamsrvnthector
10.10.0.209;pamsrvntiis1
10.10.2.178;pamsrvntlab02
10.10.0.237;pamsrvntmtf1
10.10.0.212;pamsrvntnfe
10.10.0.108;pamsrvntplt
192.168.2.3;pamsrvntpoa1
192.168.6.3;pamsrvntrec1
192.168.201.3;pamsrvntrecr1
192.168.3.3;pamsrvntrjoc1
192.168.30.3;pamsrvntrjor1
10.10.0.51;pamsrvntsepprd
192.168.5.3;pamsrvntsvd1
10.10.0.163;pamsrvnttss
10.10.0.72;pamsrvnttss3
10.10.0.86;pamsrvnttss4
192.168.7.3;pamsrvntvit1
192.168.200.3;pamsrvntvitr1
192.168.45.3;pamsrvntvma1
10.10.0.192;pamsrvntwsus
10.0.1.6;pamsrvntatm
10.0.1.8;pamsrvntatmhom
10.10.0.9;pamsrvntnferc
192.168.24.3;rcsrvntdc01
192.168.24.12;rcsrvntwsus
192.168.24.3;telsrvntdc01
192.168.24.4;telsrvntdc02
10.10.0.10;telsrvntdc03
10.10.0.5;telsrvntmass2
10.10.0.6;telsrvntmass1
10.10.0.125;tecnoset00
10.10.0.126;tecnoset00bkp
10.10.0.211;pamsrvntscua
10.10.0.234;pamsrvntscuahom
192.168.128.12;scutumnew
192.168.128.16;pamsrvntdcuol
192.168.128.19;acrux
192.168.128.25;pamsrvntconn
192.168.128.4;lupus
192.168.128.5;lynx
192.168.128.7;sagitta
